replay_buffer/size,trainer/QF Loss,trainer/Y Predictions Mean,trainer/Y Predictions Std,trainer/Y Predictions Max,trainer/Y Predictions Min,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
22000,1.3082657,14.089487,5.260961,21.132181,0.10091263,22000,1168,43.47826086956522,9.929620007692362,58,13,1.0,0.0,1.0,1.0,43.47826086956522,9.929620007692362,58.0,13.0,0.536,0.4987023160162784,1,0,23,43.47826086956522,104578,5442,44.598214285714285,8.157446008565,72,29,1.0,0.0,1.0,1.0,44.598214285714285,8.157446008565,72.0,29.0,0.5359359359359359,0.49870693649518083,1,0,112,44.598214285714285,0.019976857001893222,1.9359281530487351,0.3550914460211061,0.027593503997195512,0.014835680020041764,4.10576237400528,6.459188014094252,141.65816049138084,20
23000,1.4394035,14.334249,5.4933844,22.148252,0.44417658,23000,1192,41.666666666666664,9.702519718551924,63,15,1.0,0.0,1.0,1.0,41.666666666666664,9.702519718551924,63.0,15.0,0.54,0.49839743177508444,1,0,24,41.666666666666664,109550,5551,45.61467889908257,9.648794436156578,82,31,1.0,0.0,1.0,1.0,45.61467889908257,9.648794436156578,82.0,31.0,0.5374094931617055,0.4985985658035774,1,0,109,45.61467889908257,0.019620637991465628,1.9468459420022555,0.35400630900403485,0.027793079963885248,0.014740718994289637,4.054162192973308,6.417168880929239,148.08493076835293,21
24000,1.0719147,14.271938,6.0844436,23.394608,0.36510593,24000,1216,41.666666666666664,10.937956339686536,74,26,1.0,0.0,1.0,1.0,41.666666666666664,10.937956339686536,74.0,26.0,0.541,0.498316164698678,1,0,24,41.666666666666664,114535,5663,44.50892857142857,8.031184238990676,68,30,1.0,0.0,1.0,1.0,44.50892857142857,8.031184238990676,68.0,30.0,0.5416248746238717,0.4982643573571633,1,0,112,44.50892857142857,0.019004032015800476,2.0023977190139703,0.3561444370425306,0.030200234963558614,0.015441007970366627,4.0194175650249235,6.44260499603115,154.5471249173861,22
25000,1.9291257,15.00153,6.242959,24.696028,1.3177803,25000,1237,47.61904761904762,9.418705757193479,73,31,1.0,0.0,1.0,1.0,47.61904761904762,9.418705757193479,73.0,31.0,0.537,0.49862912068991716,1,0,21,47.61904761904762,119493,5774,44.666666666666664,7.823887346659153,74,32,1.0,0.0,1.0,1.0,44.666666666666664,7.823887346659153,74.0,32.0,0.5425574828559904,0.49818556849126217,1,0,111,44.666666666666664,0.018674189981538802,1.9641656820313074,0.366443180013448,0.028240262996405363,0.013404589961282909,3.947236592997797,6.338164497981779,160.8980460523744,23
26000,1.4018052,15.964381,6.4834247,25.74233,0.20384578,26000,1258,47.61904761904762,9.342561036033864,63,23,1.0,0.0,1.0,1.0,47.61904761904762,9.342561036033864,63.0,23.0,0.54,0.49839743177508444,1,0,21,47.61904761904762,124493,5883,45.87155963302752,8.23296229857435,77,32,1.0,0.0,1.0,1.0,45.87155963302752,8.23296229857435,77.0,32.0,0.5432,0.4981302640876179,1,0,109,45.87155963302752,0.009886560030281544,1.3678598459810019,0.2619328600121662,0.026665312994737178,0.015674524998757988,3.334336757019628,5.016355861036573,165.92441518243868,24
27000,1.2724046,16.270365,6.6148205,25.578995,-0.22813354,27000,1282,41.666666666666664,9.190877119308158,60,17,1.0,0.0,1.0,1.0,41.666666666666664,9.190877119308158,60.0,17.0,0.544,0.4980602373207482,1,0,24,41.666666666666664,129462,5992,45.58715596330275,7.7308045905893445,71,31,1.0,0.0,1.0,1.0,45.58715596330275,7.7308045905893445,71.0,31.0,0.5453813644596498,0.49793627278978225,1,0,109,45.58715596330275,0.019342022016644478,1.9684486420010217,0.375873611017596,0.026114155014511198,0.01690672099357471,4.038524191011675,6.445209342055023,172.37999188248068,25
28000,2.084042,16.467031,6.734247,27.398962,-0.45860058,28000,1303,47.61904761904762,14.865992480366181,72,10,1.0,0.0,1.0,1.0,47.61904761904762,14.865992480366181,72.0,10.0,0.537,0.4986291206899172,1,0,21,47.61904761904762,134432,6095,48.25242718446602,8.290500408382895,79,33,1.0,0.0,1.0,1.0,48.25242718446602,8.290500408382895,79.0,33.0,0.5432595573440644,0.4981250954312538,1,0,103,48.25242718446602,0.01882918394403532,1.967410207958892,0.36114023497793823,0.03260264603886753,0.014555505011230707,3.997428382979706,6.39196616091067,178.78533340839203,26
29000,1.400797,16.927849,6.8420987,27.83484,0.18504168,29000,1326,43.47826086956522,11.142825983047066,59,3,1.0,0.0,1.0,1.0,43.47826086956522,11.142825983047066,59.0,3.0,0.538,0.4985539088203,1,0,23,43.47826086956522,139420,6208,44.14159292035398,7.197427338602534,68,31,1.0,0.0,1.0,1.0,44.14159292035398,7.197427338602534,68.0,31.0,0.5433039294306335,0.49812123995656593,1,0,113,44.14159292035398,0.019822873000521213,1.9763875580392778,0.3639996169949882,0.029541410971432924,0.016343262046575546,4.045680815994274,6.4517755370470695,185.2437720783637,27
30000,1.4050522,17.669613,7.1890903,29.073164,0.5437426,30000,1348,45.45454545454545,9.163798699860786,61,15,1.0,0.0,1.0,1.0,45.45454545454545,9.163798699860786,61.0,15.0,0.542,0.49823287727728277,1,0,22,45.45454545454545,144408,6312,47.96153846153846,8.35846309589531,73,34,1.0,0.0,1.0,1.0,47.96153846153846,8.35846309589531,73.0,34.0,0.5429029671210907,0.49815593483587706,1,0,104,47.96153846153846,0.018993619014509022,1.9762726449989714,0.35823948204051703,0.0278965060133487,0.015126602025702596,4.032272141019348,6.428800995112397,191.68624780647224,28
31000,2.5955665,17.324543,7.6726823,29.902647,0.8967675,31000,1367,52.63157894736842,15.142170206398974,90,31,1.0,0.0,1.0,1.0,52.63157894736842,15.142170206398974,90.0,31.0,0.539,0.49847667949463786,1,0,19,52.63157894736842,149374,6413,49.16831683168317,8.56549525994455,73,33,1.0,0.0,1.0,1.0,49.16831683168317,8.56549525994455,73.0,33.0,0.5443012484897302,0.4980335323873797,1,0,101,49.16831683168317,0.01871942396974191,1.9686700979946181,0.363986873999238,0.025985586980823427,0.014351524005178362,4.033299584989436,6.425013091939036,198.1194270424312,29
32000,1.7781193,18.35017,7.732215,30.891275,-1.0389304,32000,1386,52.63157894736842,11.155411838941623,77,37,1.0,0.0,1.0,1.0,52.63157894736842,11.155411838941623,77.0,37.0,0.54,0.49839743177508444,1,0,19,52.63157894736842,154324,6508,52.10526315789474,9.451787560490484,77,36,1.0,0.0,1.0,1.0,52.10526315789474,9.451787560490484,77.0,36.0,0.5442424242424242,0.498038761440466,1,0,95,52.10526315789474,0.02046835795044899,1.9775537379900925,0.3556012059561908,0.026997126988135278,0.015479415014851838,4.024951322993729,6.421051166893449,204.551381942234,30
33000,1.5037818,18.402512,8.002316,32.150337,0.4677524,33000,1406,50.0,12.58570617804182,81,20,1.0,0.0,1.0,1.0,50.0,12.58570617804182,81.0,20.0,0.536,0.4987023160162784,1,0,20,50.0,159308,6609,49.34653465346535,9.682520377601097,98,34,1.0,0.0,1.0,1.0,49.34653465346535,9.682520377601097,98.0,34.0,0.5413322632423756,0.4982887155206938,1,0,101,49.34653465346535,0.011815291014499962,1.842493745032698,0.29377443698467687,0.023843915027100593,0.013337906042579561,3.9353140169987455,6.1205793111003,210.6908264493104,31
34000,1.6000667,18.906382,8.245271,32.455822,0.23835441,34000,1426,50.0,20.43281674170255,113,1,1.0,0.0,1.0,1.0,50.0,20.43281674170255,113.0,1.0,0.538,0.4985539088203,1,0,20,50.0,164306,6702,53.74193548387097,13.441152684990007,114,35,1.0,0.0,1.0,1.0,53.74193548387097,13.441152684990007,114.0,35.0,0.5424169667867147,0.4981975521102194,1,0,93,53.74193548387097,0.01871932699577883,1.7577064760262147,0.3667985560023226,0.0280172560014762,0.014473490009550005,4.013005849032197,6.198720954067539,216.9176132743014,32
35000,1.9569526,18.387003,8.73396,32.256054,0.256196,35000,1443,58.8235294117647,18.010569753269056,105,39,1.0,0.0,1.0,1.0,58.8235294117647,18.010569753269056,105.0,39.0,0.549,0.49759320734913576,1,0,17,58.8235294117647,169302,6789,57.42528735632184,21.347498270024307,137,36,1.0,0.0,1.0,1.0,57.42528735632184,21.347498270024307,137.0,36.0,0.549839871897518,0.49750978600349055,1,0,87,57.42528735632184,0.019532256992533803,1.9514582289848477,0.36589122301666066,0.02603894000640139,0.014667220995761454,4.139530058018863,6.517117928015068,223.44328358833445,33
36000,1.3091329,20.356003,8.086128,32.913868,0.53755873,36000,1461,55.55555555555556,21.12718686175133,113,36,1.0,0.0,1.0,1.0,55.55555555555556,21.12718686175133,113.0,36.0,0.547,0.49778609864077167,1,0,18,55.55555555555556,174255,6871,60.40243902439025,24.558471667360042,128,34,1.0,0.0,1.0,1.0,60.40243902439025,24.558471667360042,128.0,34.0,0.548152634766808,0.4976759224284558,1,0,82,60.40243902439025,0.019173574983142316,2.0586672860081308,0.35659356898395345,0.028049044020008296,0.01638837397331372,4.284340857993811,6.76321270596236,230.227521836292,34
